"space_id","type","subtype","location","url","description","google_maps_id","closed_for_construction","name","firestoreId","longitude","latitude","amenities","archived","equipment","details"
"park-hallets-cove-playground","park","","","http://www.nycgovparks.org/parks/Q226/","A waterfront playground situated in a neighborhood in Queens, providing breathtaking views of the East River and the Manhattan skyline.","","","Hallets Cove Playground","00MfW9Xp0ddYYRDFCMvp","-73.935988","40.772833","","","",""
"park-latinos-unidos-garden","park","","427 East 157 Street","http://www.nycgovparks.org/parks/X337/","A serene community garden located in East Harlem, providing a space for local residents to grow crops, organize gatherings, and build community bonds.","","","Latinos Unidos Garden","0518LIHMhAf6dhIwZGhd","-73.914124","40.821559","","","",""
"plaza-johnny-hartman-plaza","plaza","","Hamilton Place between Amsterdam Ave & W 143rd St","","A lively plaza nestled in Harlem, offering a gathering place for locals to enjoy music and performances in a vibrant community setting.","","","Johnny Hartman Plaza","0C4OefGlhlTcFfbfyGpc","-73.948608","40.824246","","","",""
"park-flatbush-african-burial-ground","park","","2286 Church Avenue","","A historic green space honoring the legacy of the African community in Flatbush, with interpretive signage and seating.","","","Flatbush African Burial Ground","0CSTkx2i2uT5SqbIqL6l","-73.956131","40.650179","","","",""
"park-the-creative-little-garden","park","","","http://www.nycgovparks.org/parks/M315/","A hidden community garden in the East Village of Manhattan, offering a peaceful escape from the city bustle.","","","The Creative Little Garden","0I6CNLiH3OIAD3DoJ86t","-73.982588","40.724651","","","",""
"park-havemeyer-garden-association","park","","","","A community garden located in the heart of a bustling city, providing a peaceful retreat with vibrant plants and fostering a sense of community among its members.","","","Havemeyer Garden Association","0Jfsj4NRvRukpm5DgaKk","-73.844197","40.81759","","","",""
"park-legacy-park","park","","","","A relatively new and vibrant green space in Queens, featuring a collection of small trees, a sprawling lawn, and a modern-style playground, providing a refreshing retreat for local residents.","","","Legacy Park","0Nm77LMYoyFPDTpModeR","-73.812157","40.73057","","","",""
"park-glendale-veterans-triangle","park","","","http://www.nycgovparks.org/parks/Q075/","A triangular public space located near the intersection of Myrtle Avenue and Cypress Avenue in NYC, serving as a memorial for local veterans.","","","Glendale Veterans Triangle","0QDmjm8gXttYNaHm8YQt","-73.880849","40.70185","","","",""
"pops-caldwell","pops","","1520 York Avenue","https://apops.mas.org/pops/M080072","A vibrant public plaza located on a bustling avenue in Manhattan, offering a lively gathering spot for visitors and locals in the area.","","","Caldwell","0QKlop7T6VbFKEaxWfYl","-73.949394","40.772184","","","",""
"park-pena-herrera-playground","park","","4601 3 Avenue","http://www.nycgovparks.org/parks/B210J/","A vibrant community park in the Sunset Park neighborhood of Brooklyn, offering a colorful playground for children and relaxing spaces for residents to enjoy.","","","Pena Herrera Playground","0QpjZy2v1iQLlWuUCm4i","-74.012066","40.649316","","","",""
